S.No,News Covered on Dated,State,Heading,Link
66,19.07.13,Madhya Pradseh,"Man gets 7-year RI for raping minor Dalit girl- Business Standard
 ","http://www.business-standard.com/article/pti-stories/man-gets-7-year-ri-for-raping-minor-dalit-girl-113071800888_1.html
 "
67,22.07.13,Madhya Pradesh,"Youth arrested for allegedly raping Dalit woman - Zee News
 ","http://zeenews.india.com/news/madhya-pradesh/youth-arrested-for-allegedly-raping-dalit-woman_863807.html
 "
68,24.07.13,Tamil Nadu,"Child, woman hurt as dalits attacked in Dindigul-The Times Of India","http://timesofindia.indiatimes.com/city/madurai/Child-woman-hurt-as-dalits-attacked-in-Dindigul/articleshow/21290116.cms
 "
69,25.07.13,Haryana,"Mentally challenged girl raped by teachers in Haryana; one held- Hindustan Times
 ","http://www.hindustantimes.com/India-news/Haryana/Mentally-challenged-girl-raped-by-teachers-in-Haryana-one-held/Article1-1097772.aspx
 "
70,26.07.13,Karnataka,"Bangalore: Korean man accused of sexual exploitation at his orphanage- IBNLive
 ","http://ibnlive.in.com/news/bangalore-korean-man-accused-of-sexual-exploitation-at-his-orphanage/409325-62-129.html
 "
71,26.07.13,Karnataka,"Karnataka shocker: Dalit woman raped and filmed at Buddhist ashram for six years; alleges other girls face 'similar treatment'- Daily Bhaskar
 ","http://daily.bhaskar.com/article/BAN-karnataka-dalit-woman-raped-at-buddhist-ashram-for-six-years-alleges-other-girls-4330323-NOR.html
 "
72,27.07.13,Uttar Pradesh,"Gang-raped Dalit girl commits suicide in Ghaziabad- NYDaily News
 ","http://india.nydailynews.com/newsarticle/6622b3673d3b11149a346e630b54d0dd/gang-raped-dalit-girl-commits-suicide-in-ghaziabad
 "
73,27.07.13,Punjab,"Dalit girl goes missing, family alleges kidnapping- Business Standard
 ","http://www.business-standard.com/article/pti-stories/dalit-girl-goes-missing-family-alleges-kidnapping-113072600693_1.html
 "
74,28.07.13,Punjab,"Abducted girl rescued, one held- Business Standard
 ","http://www.business-standard.com/article/pti-stories/abducted-girl-rescued-one-held-113072700652_1.html
 "
75,31.07.13,Gujrat," ‘Harassed’ Dalit woman sarpanch to face no-confidence motion on Aug 1- The Indian Express
 ","http://www.indianexpress.com/news/-harassed--dalit-woman-sarpanch-to-face-noconfidence-motion-on-aug-1/1149060/
 "
76,31.07.13,Tamil Nadu,"Family ostracized for inter-caste marriage in TN- The Times Of India
 ","http://timesofindia.indiatimes.com/city/chennai/Family-ostracized-for-inter-caste-marriage-in-TN/articleshow/21499196.cms
 "
77,31.07.13,Tamil Nadu,"Protect Dalit woman, Dharmapuri SP told- The New Indian Express
 ","http://newindianexpress.com/cities/chennai/Protect-Dalit-woman-Dharmapuri-SP-told/2013/07/31/article1710391.ece
 "
78,01.08.13,Uttar Pradesh,"Minor girl killed, one injured in firing in UP- India Today
 ","http://indiatoday.intoday.in/story/dalit-dalit-girl-killed-budha-saifi-uttar-pradesh/1/297408.html
 "
79,01.08.13,Tamil Nadu,"Another dalit-vanniyar couple run into community hurdle- The Times Of India
 ","http://timesofindia.indiatimes.com/city/chennai/Another-dalit-vanniyar-couple-run-into-community-hurdle/articleshow/21499544.cms
 "
80,03.08.13,Tamil Nadu,"Girl’s death sparks tension- The Hindu
 ","http://www.thehindu.com/todays-paper/girls-death-sparks-tension/article4984360.ece
 "
81,03.08.13,Tamil Nadu,"Youth kills self in dalit wife’s house- The New Indian Express
 ","http://newindianexpress.com/states/tamil_nadu/Youth-kills-self-in-dalit-wife%E2%80%99s-house/2013/08/03/article1715605.ece
 "
82,04.08.13,Tamil Nadu,"Family, relatives cry foul over Thoothukudi Dalit girl's death- The New Indian Express
 ","http://newindianexpress.com/states/tamil_nadu/Family-relatives-cry-foul-over-Thoothukudi-Dalit-girls-death/2013/08/04/article1717190.ece
 "
83,05.08.13,Tamil Nadu,"Assault on Dalit girls over dress raises tension in SC/ST meet- The Times Of India
 ","http://timesofindia.indiatimes.com/city/mangalore/Assault-on-Dalit-girls-over-dress-raises-tension-in-SC/ST-meet/articleshow/21607679.cms
 "
84,08.08.13,New Delhi,"Ragging drives girl student to suicide- The Hindu
 ","http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/ragging-drives-girl-student-to-suicide/article5001646.ece
 "
85,09.08.13,Haryana,"HR-RAPE- The Hindu
 ","http://www.thehindu.com/todays-paper/tp-national/hrrape/article5005314.ece
 "
86,10.08.13,Odisha,"Dalit Girl's Death: Villagers Demand Death Penalty- Out Look
 ","http://news.outlookindia.com/items.aspx?artid=806580
 "
87,10.08.13,Madhya Pradesh,"Rape victim lives in fear, doesn't name panchayat- The Times Of India
 ","http://timesofindia.indiatimes.com/city/bhopal/Rape-victim-lives-in-fear-doesnt-name-panchayat/articleshow/21737502.cms
 "
